value_id;source_product_code;source_service_code;source_service_char_code;source_field_number;source_column;target_attribute_path;default_value;value_type;apply_method;target_multiple_occurrence;rds_id;valid_from;valid_until;parent_service_code;som_attribute_path;prefix;dependent_char_code;main_bundle_access;sid_attribute_path;open_order_indicator;fixed_value;introduction_version;
BKSGC_5249;V0002;V0010;V0014;;STREET_NAME;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocationAddress.Existing.Street;;;;;;;;
BKSGC_5250;V0002;V0010;V0014;;POST_OFFICE_BOX;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocationAddress.Existing.PostOfficeBox;;;;;;;;
BKSGC_5251;V0002;V0010;V0014;;CITY_SUFFIX_NAME;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocationAddress.Existing.CitySuffix;;;;;;;;
BKSGC_5252;V0002;V0010;V0014;;STREET_NUMBER_SUFFIX;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocationAddress.Existing.StreetNumberSuffix;;;;;;;;
BKSGC_5253;V0002;V0010;V0014;;COUNTRY_RD;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocationAddress.Existing.Country;;;;;;;;
BKSGC_5254;V0002;V0010;V0015;;ROOM_NUMBER;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.ServiceLocation.Existing.Room;;;;;;;;
BKSGC_5255;V0002;V0010;V0015;;DESK_NUMBER;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.ServiceLocation.Existing.Desk;;;;;;;;
BKSGC_5256;V0002;V0010;V0015;;JACK_LOCATION;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.ServiceLocation.Existing.JackLocation;;;;;;;;
BKSGC_5257;V0002;V0010;V0015;;FLOOR;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.ServiceLocation.Existing.Floor;;;;;;;;
BKSGC_5258;V0002;V0010;V0015;;ADDITIONAL_LOCATION_INFO;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.ServiceLocation.Existing.AdditionalInformation;;;;;;;;
BKSGC_5259;V0002;V0010;V0124;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocalAreaCode.Existing;;;;;;;;
BKSGC_5260;V0002;V0010;V0934;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.Asb.Existing;;;;;;;;
BKSGC_5261;V0002;V0010;V0152;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.TechnicalServiceId.Existing;;;;;;;;
BKSGC_5262;V0002;V0010;V0012;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.ResponsibleRegion.Existing;;;;;;;;
